timestamps,TP9,AF7,AF8,TP10
1710365167.911,1710365476.016,1710365552.188,1710365167.911,1710366167.911
1710365167.915,1710365499.457,1710365508.735,1710365167.915,1710366167.915
1710365167.918,1710365503.368,1710365540.965,1710365167.918,1710366167.918
1710365167.922,1710365489.211,1710365591.262,1710365167.922,1710366167.922
1710365167.926,1710365486.774,1710365594.684,1710365167.926,1710366167.926
1710365167.930,1710365482.383,1710365581.993,1710365167.930,1710366167.930
1710365167.934,1710365486.293,1710365530.239,1710365167.934,1710366167.934
1710365167.938,1710365466.278,1710365589.813,1710365167.938,1710366167.938
1710365167.942,1710365416.965,1710365652.317,1710365167.942,1710366167.942
1710365167.946,1710365432.594,1710365521.461,1710365167.946,1710366167.946
1710365167.950,1710365435.039,1710365520.000,1710365167.950,1710366167.950
1710365167.953,1710365404.770,1710365538.071,1710365167.953,1710366167.953
