timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1713993500.7509303,1,HELLO,410.15625,139.6484375,-455.56640625,541.50390625,0.0,0
1713993500.7547865,1,HELLO,999.51171875,999.51171875,-234.375,896.484375,0.0,0
1713993500.7586427,1,HELLO,-430.6640625,-274.4140625,-505.859375,999.51171875,0.0,0
1713993500.7624986,1,HELLO,-1000.0,-1000.0,-754.39453125,794.43359375,0.0,0
1713993500.7663548,1,HELLO,-178.7109375,-216.796875,-621.09375,320.80078125,0.0,0
1713993500.770211,1,HELLO,999.51171875,999.51171875,-77.63671875,809.08203125,0.0,0
1713993500.7740672,1,HELLO,128.90625,218.26171875,-294.921875,999.51171875,0.0,0
1713993500.777923,1,HELLO,-1000.0,-1000.0,-689.453125,999.51171875,0.0,0
1713993500.7817793,1,HELLO,-246.09375,-391.11328125,-602.05078125,122.55859375,0.0,0
1713993500.7856355,1,HELLO,999.51171875,999.51171875,-266.11328125,61.03515625,0.0,0
1713993500.7894917,1,HELLO,242.1875,294.43359375,-291.50390625,999.51171875,0.0,0
1713993500.7933476,1,HELLO,-1000.0,-1000.0,-660.15625,999.51171875,0.0,0
1713993500.797788,1,HELLO,-648.92578125,-874.51171875,-740.72265625,28.80859375,0.0,0
1713993500.8016443,1,HELLO,999.51171875,706.54296875,-371.09375,-289.55078125,0.0,0
1713993500.8055007,1,HELLO,631.8359375,776.85546875,-219.23828125,989.2578125,0.0,0
1713993500.8093574,1,HELLO,-945.80078125,-811.5234375,-603.515625,999.51171875,0.0,0
1713993500.8132138,1,HELLO,-1000.0,-1000.0,-756.8359375,79.58984375,0.0,0
1713993500.8170705,1,HELLO,274.90234375,101.07421875,-432.6171875,-449.70703125,0.0,0
1713993500.820927,1,HELLO,999.51171875,999.51171875,-12.6953125,854.98046875,0.0,0
1713993500.8247836,1,HELLO,-216.30859375,-92.28515625,-311.03515625,999.51171875,0.0,0
1713993500.82864,1,HELLO,-1000.0,-1000.0,-726.07421875,381.34765625,0.0,0
1713993500.8324964,1,HELLO,-219.7265625,-227.05078125,-672.8515625,-1000.0,0.0,0
1713993500.836353,1,HELLO,999.51171875,999.51171875,-162.109375,3.90625,0.0,0
1713993500.8402095,1,HELLO,240.72265625,244.62890625,-277.83203125,999.51171875,0.0,0
1713993500.8445723,1,HELLO,-1000.0,-1000.0,-747.0703125,695.80078125,0.0,0
1713993500.8484292,1,HELLO,-363.76953125,-518.06640625,-753.90625,-875.48828125,0.0,0
1713993500.852286,1,HELLO,999.51171875,999.51171875,-211.9140625,-324.70703125,0.0,0
1713993500.856143,1,HELLO,311.03515625,405.76171875,-189.94140625,999.51171875,0.0,0
1713993500.86,1,HELLO,-1000.0,-1000.0,-696.77734375,999.51171875,0.0,0
1713993500.8638566,1,HELLO,-832.51953125,-1000.0,-760.25390625,-339.84375,0.0,0
1713993500.8677135,1,HELLO,766.11328125,456.54296875,-259.765625,-614.74609375,0.0,0
1713993500.8715703,1,HELLO,799.8046875,926.7578125,46.875,918.9453125,0.0,0
1713993500.8754272,1,HELLO,-756.8359375,-604.00390625,-512.20703125,999.51171875,0.0,0
1713993500.8792841,1,HELLO,-1000.0,-1000.0,-751.953125,144.04296875,0.0,0
1713993500.883141,1,HELLO,17.08984375,-123.046875,-509.765625,-1000.0,0.0,0
1713993500.886998,1,HELLO,999.51171875,999.51171875,-147.4609375,36.62109375,0.0,0
