words,fft_0.00Hz,fft_10.67Hz,fft_21.33Hz,fft_32.00Hz,fft_42.67Hz,fft_53.33Hz,fft_64.00Hz,fft_74.67Hz,fft_85.33Hz,fft_96.00Hz,fft_106.67Hz,fft_117.33Hz,fft_-128.00Hz,fft_-117.33Hz,fft_-106.67Hz,fft_-96.00Hz,fft_-85.33Hz,fft_-74.67Hz,fft_-64.00Hz,fft_-53.33Hz,fft_-42.67Hz,fft_-32.00Hz,fft_-21.33Hz,fft_-10.67Hz
foo,(1067.87109375+0j),(1490.8776553929338-308.7772967484399j),(323.53581260179567+234.22688378106523j),(1647.2495939105802+550.8769333461395j),(826.904296875+1434.7774389846682j),(5872.7831553456+924.6623778262622j),(2075.68359375-5796.875j),(-1682.244973103072-572.7450648017409j),(1102.294921875-1213.196720438259j),(-895.29646891058-473.53712915386063j),(545.1165311482046-253.75813378106477j),(-436.29865013546214+272.614520879563j),(1179.19921875-1.1368683772161603e-13j),(-436.29865013546237-272.61452087956303j),(545.1165311482046+253.75813378106497j),(-895.2964689105802+473.53712915386063j),(1102.294921875+1213.196720438259j),(-1682.2449731030717+572.7450648017409j),(2075.68359375+5796.875j),(5872.7831553456-924.6623778262621j),(826.904296875-1434.7774389846682j),(1647.24959391058-550.8769333461396j),(323.53581260179544-234.22688378106497j),(1490.8776553929342+308.7772967484399j)
foo,(-1575.68359375+0j),(355.93639288792474+1251.9751058816532j),(281.8234971661652+848.0442134506038j),(1347.7113298352383+656.3459825378566j),(317.38281249999994+1351.4732375464189j),(5056.854491136155+1038.9009956606221j),(1412.109375-5452.63671875j),(-2237.6229179729685-132.26549377949345j),(863.28125-769.6124193787491j),(-1004.9378923352378-180.56807996214278j),(863.684315333835-302.1457759506038j),(-807.9804660511118-819.0459046782308j),(-480.9570312499999-2.2737367544323206e-13j),(-807.9804660511122+819.0459046782311j),(863.6843153338348+302.1457759506037j),(-1004.9378923352381+180.56807996214286j),(863.28125+769.6124193787491j),(-2237.6229179729685+132.26549377949337j),(1412.109375+5452.63671875j),(5056.854491136155-1038.9009956606221j),(317.3828125-1351.4732375464187j),(1347.7113298352383-656.3459825378569j),(281.82349716616517-848.0442134506037j),(355.93639288792497-1251.9751058816532j)
foo,(-6205.56640625+0j),(-597.1379621821367+3847.1037051255926j),(-187.1469128547911+37.186365551646944j),(-549.8656697661268+1390.2563924148783j),(14.6484375-4.228639666916204j),(-597.3088339239391+694.0421561677113j),(-32.71484375+56.640625j),(-551.773445409893+446.12876500455263j),(15.625+68.5039626040425j),(-479.43120523387313+207.63920491487863j),(-24.76714964520889-18.63167805164695j),(-535.029758484031+91.11084628875165j),(13.18359375+4.440892098500626e-16j),(-535.0297584840308-91.11084628875187j),(-24.767149645208875+18.631678051646947j),(-479.43120523387324-207.63920491487875j),(15.625-68.5039626040425j),(-551.7734454098933-446.1287650045525j),(-32.71484375-56.64062499999999j),(-597.308833923939-694.042156167711j),(14.6484375+4.228639666916203j),(-549.8656697661269-1390.2563924148783j),(-187.14691285479114-37.186365551646944j),(-597.1379621821368-3847.1037051255926j)
foo,(-2233.88671875+0j),(-1689.265740042419+764.4099140013865j),(-1197.4324378619017-109.75903147941699j),(-1870.3544918209163+721.1051643021792j),(-701.171875-929.4549987881817j),(-5510.207883047482+595.7404797250691j),(-17.08984375+5928.7109375j),(2179.1684781417853-460.3449413954381j),(-631.34765625+808.5159043143782j),(858.6357418209159-621.6682731978208j),(-1076.4933433880983+39.934812729416535j),(245.89108244811587-726.3796648781067j),(-2091.30859375+1.1368683772161603e-13j),(245.89108244811632+726.3796648781063j),(-1076.4933433880983-39.93481272941682j),(858.6357418209159+621.6682731978209j),(-631.34765625-808.5159043143782j),(2179.168478141785+460.34494139543796j),(-17.08984375-5928.7109375j),(-5510.207883047482-595.7404797250688j),(-701.1718750000001+929.4549987881816j),(-1870.3544918209163-721.1051643021792j),(-1197.4324378619017+109.75903147941682j),(-1689.2657400424196-764.4099140013865j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
foo,(2076.66015625+0j),(-291.311168191364-1031.2398890999416j),(724.4452356190159+324.5226898798651j),(-104.85760664259294-576.788796859028j),(2119.873046875+1264.7861243746365j),(2917.7555257835284-4751.20884314344j),(-4343.75-3661.62109375j),(-2222.11645728951+1416.7873645100253j),(-736.572265625-344.6341328536706j),(-1441.040830857407+560.9065156409712j),(-202.47257936901588+442.0788726201356j),(-504.9138378026539-64.47047175340731j),(-492.67578125+0j),(-504.91383780265454+64.47047175340708j),(-202.472579369016-442.07887262013526j),(-1441.040830857407-560.9065156409715j),(-736.572265625+344.6341328536706j),(-2222.11645728951-1416.7873645100253j),(-4343.75+3661.62109375j),(2917.7555257835274+4751.20884314344j),(2119.873046875-1264.7861243746365j),(-104.85760664259266+576.7887968590287j),(724.445235619016-324.52268987986474j),(-291.311168191364+1031.2398890999418j)
foo,(-357.421875+0j),(-516.6532978418386+600.1179203251055j),(1055.190274855171+339.7406683641502j),(-131.86132111096094-576.9875619407846j),(1875.9765625+729.8632065097369j),(1975.460864736155-4750.887314133986j),(-4770.99609375-3079.58984375j),(-2126.058327430758+1634.1134129266704j),(-985.83984375-385.6519376227578j),(-1263.6464913890388+696.4499380592147j),(-532.2410561051715-422.26019961414977j),(-1511.4601769635588+410.42969326444836j),(-75.1953125-1.1368683772161603e-13j),(-1511.4601769635588-410.4296932644485j),(-532.2410561051715+422.26019961415j),(-1263.6464913890388-696.4499380592152j),(-985.83984375+385.6519376227578j),(-2126.058327430758-1634.1134129266702j),(-4770.99609375+3079.5898437499995j),(1975.4608647361551+4750.887314133986j),(1875.9765625-729.8632065097368j),(-131.86132111096094+576.9875619407845j),(1055.1902748551715-339.74066836415j),(-516.6532978418384-600.1179203251053j)
foo,(-6079.1015625+0j),(-502.9599272276048+3818.030132318062j),(-91.03031738735086+110.93436280988047j),(-341.914330393587+1303.3879170186146j),(-88.623046875+27.486157834955325j),(-213.2566199395099+951.7804531437733j),(277.34375-333.0078125j),(-656.636472424262+348.72137607043396j),(126.708984375-18.183150567739677j),(-571.1716071064131+148.11447951861487j),(45.13187988735089+58.49923094011953j),(-465.0376054086231+51.948584391402164j),(38.085937499999986+0j),(-465.0376054086232-51.948584391402164j),(45.13187988735089-58.49923094011953j),(-571.171607106413-148.1144795186151j),(126.708984375+18.183150567739677j),(-656.6364724242619-348.72137607043373j),(277.34375+333.0078125j),(-213.25661993950996-951.7804531437732j),(-88.623046875-27.486157834955325j),(-341.91433039358685-1303.3879170186146j),(-91.03031738735089-110.93436280988047j),(-502.9599272276049-3818.030132318062j)
foo,(-2896.97265625+0j),(-530.3268966991066+1570.548441841274j),(-759.7696473267229+617.7696258869776j),(227.30674177191872+925.767598654732j),(-2019.2871093749998-89.22429697193195j),(-851.7704578732646+5192.901778227346j),(5057.6171875+1708.49609375j),(1203.3329578732648-1863.5589730196866j),(840.576171875+316.7251110520237j),(827.3807582280809-1074.2324013452671j),(-418.94129017327714+211.8202178630222j),(881.8893966991067+627.0091930883063j),(1012.2070312499997+7.105427357601002e-14j),(881.8893966991066-627.0091930883066j),(-418.94129017327697-211.8202178630222j),(827.3807582280809+1074.2324013452671j),(840.576171875-316.7251110520237j),(1203.3329578732646+1863.5589730196866j),(5057.6171875-1708.4960937499998j),(-851.7704578732645-5192.901778227345j),(-2019.287109375+89.22429697193188j),(227.30674177191895-925.7675986547326j),(-759.7696473267231-617.7696258869778j),(-530.3268966991067-1570.5484418412743j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
foo,(1387.20703125+0j),(-1727.452941759445-1090.0906241501973j),(-11.766975986526177+205.18295883794985j),(-1680.7998536399714-761.0829453443341j),(1146.728515625+131.5106936410939j),(-2728.535179724873-4887.513166245995j),(-5800.78125+2704.58984375j),(491.4621383027163+2271.4346460437027j),(-1237.060546875+474.0305066613065j),(-31.114208860028327+1130.518617155665j),(-185.98693026347428+48.723291162050145j),(-323.55995431839915-360.3665614398956j),(-1209.4726562499998+2.842170943040401e-14j),(-323.5599543183987+360.3665614398959j),(-185.98693026347382-48.72329116205023j),(-31.114208860028157-1130.5186171556652j),(-1237.060546875-474.0305066613065j),(491.4621383027165-2271.4346460437027j),(-5800.78125-2704.58984375j),(-2728.535179724873+4887.513166245995j),(1146.7285156249998-131.51069364109392j),(-1680.7998536399718+761.082945344334j),(-11.766975986526191-205.18295883794977j),(-1727.452941759445+1090.090624150197j)
foo,(285.64453125+0j),(-1335.7633882790483-379.637715136756j),(-65.24727904303677-271.8445855198371j),(-1782.313578093707-330.480587423164j),(1292.48046875-421.1725108248539j),(-3718.5223398379003-4515.631530808933j),(-5245.60546875+3515.625j),(654.9671249396897+1978.4087279702844j),(-1136.71875+822.8932791818933j),(275.47764059370695+794.5194125768355j),(-583.6785022069639+118.03599176983676j),(-93.84545932274136+40.384526084026675j),(-808.10546875+0j),(-93.84545932274125-40.384526084025936j),(-583.6785022069632-118.03599176983701j),(275.47764059370695-794.5194125768357j),(-1136.71875-822.8932791818933j),(654.9671249396898-1978.4087279702842j),(-5245.60546875-3515.625j),(-3718.5223398379003+4515.631530808932j),(1292.48046875+421.1725108248539j),(-1782.3135780937068+330.48058742316397j),(-65.24727904303671+271.844585519837j),(-1335.7633882790483+379.637715136756j)
foo,(-5425.29296875+0j),(-488.0891650125203+3413.26940487418j),(-55.07404845995532+160.9841122136984j),(-280.0929568314451+1136.3947080141943j),(-24.90234375+153.92248387574983j),(171.99119244365681+669.9888519703915j),(34.66796875-769.53125j),(-888.361181150242+434.3695505310342j),(157.2265625-5.9200955336826855j),(-588.071105668555+81.7072080141943j),(-0.10173279004467517-20.847393463698324j),(-569.9549087808944-7.361293686462318j),(-83.49609375-1.4210854715202004e-14j),(-569.9549087808944+7.361293686462545j),(-0.10173279004467517+20.84739346369838j),(-588.071105668555-81.70720801419475j),(157.2265625+5.9200955336826855j),(-888.3611811502421-434.36955053103406j),(34.66796875+769.53125j),(171.99119244365687-669.9888519703915j),(-24.902343749999996-153.92248387574983j),(-280.09295683144495-1136.3947080141943j),(-55.07404845995532-160.98411221369838j),(-488.0891650125205-3413.26940487418j)
